[2020-01-04 13:19:53]	,        LuaContext::DiplomacyActionView, 124.87 ms
[2020-01-04 13:19:53]	,    GameCoreEvent::DiplomacyStatement, 125.00 ms
[2020-01-04 13:19:53]	,Civ6App_PublishGameCoreEvents, 128.32 ms
[2020-01-04 13:19:54]	,    LocalMachineEvent::ShowLeaderScreen, 927.64 ms
[2020-01-04 13:19:54]	,Civ6App_PublishLocalMachine, 927.68 ms
[2020-01-04 13:19:54]	,Civ6App_PublishEvents, 1056.11 ms
[2020-01-04 13:19:54]	,----- FRAME: 14345 time: 1080.28ms Moving avg: 43.79ms 119 frames since last 
[2020-01-04 13:19:58]	,        UIManager_Update, 21.54 ms
[2020-01-04 13:19:58]	,----- FRAME: 14540 time: 51.49ms Moving avg: 19.23ms 196 frames since last 
[2020-01-04 13:20:02]	,UIManager_ProcessInput, 47.04 ms
[2020-01-04 13:20:02]	,----- FRAME: 14785 time: 11.80ms Moving avg: 16.17ms 246 frames since last 
[2020-01-04 13:20:03]	,UIManager_ProcessInput, 89.21 ms
[2020-01-04 13:20:03]	,SerialEvent::QuerySaveGames, 215.43 ms
[2020-01-04 13:20:03]	,Civ6App_PublishSerialEvents, 215.46 ms
[2020-01-04 13:20:03]	,Civ6App_PublishEvents, 215.50 ms
[2020-01-04 13:20:03]	,----- FRAME: 14837 time: 239.18ms Moving avg: 19.43ms 53 frames since last 
[2020-01-04 13:20:04]	,UIManager_ProcessInput, 99.77 ms
[2020-01-04 13:20:05]	,DoGameStateSaveRequest, 745.58 ms
[2020-01-04 13:20:05]	,GameViewState_Tick, 753.64 ms
[2020-01-04 13:20:05]	,Civ6App_UpdateFrame, 764.84 ms
[2020-01-04 13:20:05]	,----- FRAME: 14897 time: 765.03ms Moving avg: 31.22ms 61 frames since last 
[2020-01-04 13:20:05]	,            SerialEvent::SaveComplete, 41.43 ms
[2020-01-04 13:20:05]	,----- FRAME: 14898 time: 53.49ms Moving avg: 31.79ms 2 frames since last 
[2020-01-04 13:20:07]	,LocalMachineEvent::ShowLeaderScreen, 624.82 ms
[2020-01-04 13:20:07]	,Civ6App_PublishLocalMachine, 624.86 ms
[2020-01-04 13:20:07]	,Civ6App_PublishEvents, 624.89 ms
[2020-01-04 13:20:07]	,----- FRAME: 14983 time: 632.40ms Moving avg: 26.12ms 86 frames since last 
[2020-01-04 13:20:10]	,LuaContext::DiplomacyActionView, 21.74 ms
[2020-01-04 13:20:10]	,GameCoreEvent::DiplomacyStatement, 21.85 ms
[2020-01-04 13:20:10]	,----- FRAME: 15102 time: 33.10ms Moving avg: 19.18ms 120 frames since last 
[2020-01-04 13:20:11]	,LuaContext::DiplomacyActionView, 5.82 ms
[2020-01-04 13:20:11]	,GameCoreEvent::DiplomacyStatement, 5.93 ms
[2020-01-04 13:20:11]	,----- FRAME: 15203 time: 19.12ms Moving avg: 18.85ms 102 frames since last 
[2020-01-04 13:20:13]	,LuaContext::DiplomacyActionView, 28.64 ms
[2020-01-04 13:20:13]	,GameCoreEvent::DiplomacyStatement, 28.76 ms
[2020-01-04 13:20:13]	,----- FRAME: 15304 time: 43.75ms Moving avg: 19.28ms 102 frames since last 
[2020-01-04 13:20:15]	,LuaContext::DiplomacyActionView, 5.12 ms
